iter	Passed	Remaining
0	93	93553
1	95	47557
2	96	32137
3	97	24382
4	99	19711
5	100	16620
6	101	14385
7	102	12715
8	103	11432
9	104	10393
10	106	9547
11	107	8846
12	108	8273
13	110	7767
14	111	7308
15	112	6925
16	113	6583
17	115	6280
18	116	5999
19	117	5742
20	118	5529
21	119	5321
22	121	5147
23	122	4989
24	124	4840
25	125	4700
26	126	4570
27	128	4450
28	129	4335
29	130	4222
30	131	4122
31	133	4028
32	134	3942
33	136	3872
34	137	3799
35	139	3723
36	140	3650
37	141	3579
38	142	3514
39	143	3449
40	144	3391
41	146	3335
42	147	3284
43	148	3237
44	150	3189
45	151	3139
46	152	3099
47	154	3059
48	155	3019
49	156	2982
50	158	2944
51	159	2904
52	160	2865
53	161	2828
54	162	2796
55	163	2764
56	165	2735
57	166	2706
58	168	2682
59	169	2652
60	170	2624
61	171	2596
62	172	2569
63	173	2541
64	174	2514
65	176	2490
66	177	2467
67	178	2442
68	179	2418
69	180	2398
70	181	2379
71	183	2364
72	184	2346
73	185	2326
74	187	2310
75	188	2290
76	189	2272
77	190	2252
78	191	2235
79	192	2217
80	193	2200
81	195	2184
82	195	2163
83	197	2150
84	198	2135
85	199	2120
86	200	2106
87	202	2093
88	203	2079
89	204	2067
90	205	2052
91	206	2039
92	207	2027
93	209	2014
94	210	2001
95	211	1992
96	212	1979
97	213	1967
98	214	1954
99	215	1942
100	216	1931
101	218	1920
102	219	1909
103	220	1899
104	221	1888
105	222	1877
106	223	1867
107	225	1858
108	226	1849
109	227	1839
110	228	1831
111	229	1823
112	231	1814
113	232	1804
114	233	1796
115	234	1787
116	235	1777
117	236	1769
118	237	1761
119	239	1752
120	240	1745
121	241	1735
122	242	1727
123	243	1719
124	244	1711
125	245	1704
126	246	1694
127	247	1687
128	248	1680
129	249	1672
130	250	1664
131	252	1658
132	253	1652
133	254	1645
134	256	1641
135	257	1636
136	258	1630
137	259	1623
138	260	1616
139	262	1610
140	263	1603
141	263	1594
142	265	1588
143	266	1581
144	267	1574
145	268	1569
146	269	1564
147	270	1559
148	271	1553
149	273	1548
150	274	1542
151	275	1536
152	276	1530
153	277	1524
154	278	1518
155	279	1511
156	280	1507
157	281	1502
158	282	1496
159	284	1492
160	285	1485
161	286	1480
162	287	1475
163	288	1471
164	289	1466
165	290	1461
166	291	1455
167	292	1450
168	294	1445
169	295	1441
170	296	1436
171	297	1431
172	301	1439
173	302	1435
174	303	1431
175	304	1426
176	305	1422
177	306	1417
178	308	1413
179	309	1408
180	310	1404
181	311	1400
182	312	1395
183	313	1391
184	314	1386
185	315	1382
186	317	1378
187	318	1374
188	319	1370
189	320	1366
190	321	1361
191	322	1357
192	323	1352
193	324	1349
194	325	1345
195	327	1342
196	328	1339
197	329	1335
198	330	1331
199	331	1327
200	333	1323
201	334	1320
202	335	1316
203	336	1312
204	337	1309
205	339	1306
206	340	1304
207	341	1301
208	343	1300
209	344	1297
210	346	1294
211	347	1290
212	348	1286
213	349	1283
214	350	1279
215	351	1276
216	352	1272
217	353	1268
218	354	1265
219	356	1262
220	357	1260
221	358	1257
222	360	1254
223	361	1252
224	362	1249
225	363	1246
226	364	1242
227	365	1239
228	367	1236
229	368	1232
230	369	1230
231	370	1226
232	372	1224
233	373	1221
234	374	1217
235	375	1214
236	376	1211
237	377	1208
